pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-03 00:30:28.000000 UTC,2019-01-03 00:37:59.000000 UTC,1,2.07,95
2019-01-03 00:30:32.000000 UTC,2019-01-03 00:35:26.000000 UTC,1,0.8,129
2019-01-03 00:30:53.000000 UTC,2019-01-03 00:40:56.000000 UTC,4,2.54,255
2019-01-03 00:33:15.000000 UTC,2019-01-03 00:45:27.000000 UTC,1,2.8,166
2019-01-03 00:33:42.000000 UTC,2019-01-03 00:56:29.000000 UTC,1,5.42,256
2019-01-03 00:34:04.000000 UTC,2019-01-03 00:45:54.000000 UTC,1,2.29,119
2019-01-03 00:34:25.000000 UTC,2019-01-03 00:46:27.000000 UTC,1,2.5,82
2019-01-03 00:34:29.000000 UTC,2019-01-03 00:34:49.000000 UTC,1,0,74
2019-01-03 00:34:45.000000 UTC,2019-01-03 00:56:01.000000 UTC,4,11.31,244
2019-01-03 00:34:46.000000 UTC,2019-01-03 00:43:24.000000 UTC,2,2.09,95
2019-01-03 00:34:48.000000 UTC,2019-01-03 01:03:12.000000 UTC,1,6.8,255
2019-01-03 00:35:05.000000 UTC,2019-01-03 00:42:26.000000 UTC,4,1.12,82
2019-01-03 00:36:10.000000 UTC,2019-01-03 00:45:51.000000 UTC,1,2.7,95
2019-01-03 00:36:11.000000 UTC,2019-01-03 00:41:20.000000 UTC,1,1.33,130
2019-01-03 00:36:15.000000 UTC,2019-01-03 00:42:00.000000 UTC,1,1.24,255
2019-01-03 00:36:21.000000 UTC,2019-01-03 00:42:05.000000 UTC,2,1.29,145
2019-01-03 00:37:09.000000 UTC,2019-01-03 00:45:35.000000 UTC,2,1.41,260
2019-01-03 00:37:20.000000 UTC,2019-01-03 00:42:59.000000 UTC,1,1.46,127
2019-01-03 00:37:27.000000 UTC,2019-01-03 00:40:05.000000 UTC,1,0.7,42
2019-01-03 00:37:29.000000 UTC,2019-01-03 00:51:31.000000 UTC,2,2.83,255
2019-01-03 00:37:39.000000 UTC,2019-01-03 00:38:35.000000 UTC,1,0,10
2019-01-03 00:37:40.000000 UTC,2019-01-03 00:47:15.000000 UTC,1,2.64,130
2019-01-03 00:37:57.000000 UTC,2019-01-03 00:43:04.000000 UTC,1,1.15,7
2019-01-03 00:38:09.000000 UTC,2019-01-03 00:47:40.000000 UTC,1,2.11,97
2019-01-03 00:38:10.000000 UTC,2019-01-03 00:51:39.000000 UTC,1,3.27,80
2019-01-03 00:38:14.000000 UTC,2019-01-03 00:38:22.000000 UTC,1,0,42
2019-01-03 00:38:14.000000 UTC,2019-01-03 00:45:44.000000 UTC,1,2.1,181
2019-01-03 00:38:27.000000 UTC,2019-01-03 00:49:19.000000 UTC,2,3.12,41
2019-01-03 00:39:12.000000 UTC,2019-01-03 00:53:06.000000 UTC,1,3.84,75
2019-01-03 00:39:15.000000 UTC,2019-01-03 00:47:36.000000 UTC,1,1.97,74
2019-01-03 00:39:50.000000 UTC,2019-01-03 00:41:58.000000 UTC,1,0.64,134
2019-01-03 00:40:25.000000 UTC,2019-01-03 00:45:07.000000 UTC,1,0.93,74
2019-01-03 00:40:43.000000 UTC,2019-01-03 00:59:08.000000 UTC,1,8.88,40
2019-01-03 00:41:21.000000 UTC,2019-01-03 00:54:00.000000 UTC,1,3.2,41
2019-01-03 00:41:28.000000 UTC,2019-01-03 00:46:49.000000 UTC,5,1.35,244
2019-01-03 00:41:55.000000 UTC,2019-01-03 00:47:38.000000 UTC,1,1.42,7
2019-01-03 00:42:36.000000 UTC,2019-01-03 00:56:04.000000 UTC,1,2.3,40
2019-01-03 00:43:32.000000 UTC,2019-01-03 00:48:13.000000 UTC,1,0.74,83
2019-01-03 00:43:42.000000 UTC,2019-01-03 00:54:11.000000 UTC,1,2.79,92
2019-01-03 00:44:10.000000 UTC,2019-01-03 00:50:58.000000 UTC,1,1.15,7
2019-01-03 00:44:15.000000 UTC,2019-01-03 00:47:16.000000 UTC,1,1.05,25
2019-01-03 00:44:23.000000 UTC,2019-01-03 01:05:05.000000 UTC,1,18.3,53
2019-01-03 00:44:27.000000 UTC,2019-01-03 00:50:30.000000 UTC,5,0.9,7
2019-01-03 00:44:29.000000 UTC,2019-01-03 00:47:32.000000 UTC,2,0.66,25
2019-01-03 00:44:29.000000 UTC,2019-01-03 00:47:32.000000 UTC,2,0.66,25
2019-01-03 00:44:30.000000 UTC,2019-01-03 00:50:29.000000 UTC,1,1.2,212
2019-01-03 00:44:40.000000 UTC,2019-01-03 00:56:19.000000 UTC,1,1.35,76
2019-01-03 00:44:42.000000 UTC,2019-01-03 00:53:13.000000 UTC,1,1.5,65
2019-01-03 00:45:02.000000 UTC,2019-01-03 01:07:53.000000 UTC,1,5.2,255
2019-01-03 00:45:08.000000 UTC,2019-01-03 00:56:08.000000 UTC,2,2.12,83
2019-01-03 00:45:25.000000 UTC,2019-01-03 01:10:27.000000 UTC,1,6.53,82
2019-01-03 00:45:34.000000 UTC,2019-01-03 00:48:44.000000 UTC,1,0.67,106
2019-01-03 00:45:41.000000 UTC,2019-01-03 00:49:11.000000 UTC,1,0.81,95
2019-01-03 00:45:46.000000 UTC,2019-01-03 00:51:24.000000 UTC,1,1,82
2019-01-03 00:45:52.000000 UTC,2019-01-03 00:53:27.000000 UTC,1,1.86,134
2019-01-03 00:46:13.000000 UTC,2019-01-03 00:57:04.000000 UTC,1,3.07,49
2019-01-03 00:46:15.000000 UTC,2019-01-03 00:52:50.000000 UTC,1,1.46,260
2019-01-03 00:46:18.000000 UTC,2019-01-03 00:52:11.000000 UTC,1,1.56,25
2019-01-03 00:46:25.000000 UTC,2019-01-03 00:54:51.000000 UTC,1,1.39,129
2019-01-03 00:46:52.000000 UTC,2019-01-03 00:52:02.000000 UTC,1,1.42,41
2019-01-03 00:47:00.000000 UTC,2019-01-03 00:51:25.000000 UTC,1,1.32,134
2019-01-03 00:47:04.000000 UTC,2019-01-03 00:51:26.000000 UTC,1,0.8,243
2019-01-03 00:47:06.000000 UTC,2019-01-03 00:56:04.000000 UTC,1,1.88,97
2019-01-03 00:47:54.000000 UTC,2019-01-03 00:49:00.000000 UTC,1,0.2,65
2019-01-03 00:48:26.000000 UTC,2019-01-03 00:56:53.000000 UTC,5,4.74,42
2019-01-03 00:48:59.000000 UTC,2019-01-03 00:54:41.000000 UTC,1,0.76,255
2019-01-03 00:49:10.000000 UTC,2019-01-03 00:53:40.000000 UTC,1,0.9,95
2019-01-03 00:49:36.000000 UTC,2019-01-03 01:14:20.000000 UTC,1,6.13,66
2019-01-03 00:49:38.000000 UTC,2019-01-03 00:58:37.000000 UTC,1,1.44,181
2019-01-03 00:49:38.000000 UTC,2019-01-03 01:05:31.000000 UTC,1,5.85,74
2019-01-03 00:49:49.000000 UTC,2019-01-03 00:58:49.000000 UTC,1,2.67,179
2019-01-03 00:51:11.000000 UTC,2019-01-03 00:51:21.000000 UTC,1,0.06,65
2019-01-03 00:51:31.000000 UTC,2019-01-03 01:08:12.000000 UTC,1,4.11,255
2019-01-03 00:51:53.000000 UTC,2019-01-03 00:53:59.000000 UTC,1,0.44,256
2019-01-03 00:52:03.000000 UTC,2019-01-03 00:59:04.000000 UTC,1,1.9,95
2019-01-03 00:53:05.000000 UTC,2019-01-03 01:02:32.000000 UTC,1,4.14,74
2019-01-03 00:53:35.000000 UTC,2019-01-03 01:01:45.000000 UTC,1,1.26,97
2019-01-03 00:54:14.000000 UTC,2019-01-03 00:59:52.000000 UTC,1,1.3,210
2019-01-03 00:54:32.000000 UTC,2019-01-03 00:54:33.000000 UTC,1,0,130
2019-01-03 00:54:35.000000 UTC,2019-01-03 01:03:52.000000 UTC,1,1.04,129
2019-01-03 00:54:42.000000 UTC,2019-01-03 01:02:29.000000 UTC,1,1.33,179
2019-01-03 00:54:45.000000 UTC,2019-01-03 01:21:37.000000 UTC,1,7.95,75
2019-01-03 00:56:00.000000 UTC,2019-01-03 01:11:54.000000 UTC,1,8.62,255
2019-01-03 00:56:07.000000 UTC,2019-01-03 01:04:53.000000 UTC,1,2.5,97
2019-01-03 00:56:13.000000 UTC,2019-01-03 01:03:12.000000 UTC,1,1.12,74
2019-01-03 00:56:21.000000 UTC,2019-01-03 01:02:35.000000 UTC,1,1.2,74
2019-01-03 00:56:22.000000 UTC,2019-01-03 01:02:56.000000 UTC,1,1.51,61
2019-01-03 00:56:47.000000 UTC,2019-01-03 01:06:24.000000 UTC,1,4,116
2019-01-03 00:57:01.000000 UTC,2019-01-03 01:04:58.000000 UTC,1,1.57,49
2019-01-03 00:57:24.000000 UTC,2019-01-03 01:09:40.000000 UTC,5,2.57,95
2019-01-03 00:57:27.000000 UTC,2019-01-03 01:05:35.000000 UTC,1,1.59,129
2019-01-03 00:57:34.000000 UTC,2019-01-03 01:04:04.000000 UTC,1,1.76,97
2019-01-03 00:57:42.000000 UTC,2019-01-03 01:02:58.000000 UTC,1,1.25,74
2019-01-03 00:57:54.000000 UTC,2019-01-03 01:05:58.000000 UTC,1,2.03,80
2019-01-03 00:57:55.000000 UTC,2019-01-03 01:05:42.000000 UTC,2,1.49,166
2019-01-03 00:57:56.000000 UTC,2019-01-03 01:05:50.000000 UTC,1,1.62,82
2019-01-03 00:58:16.000000 UTC,2019-01-03 01:20:37.000000 UTC,1,7.54,75
2019-01-03 00:58:24.000000 UTC,2019-01-03 01:10:33.000000 UTC,1,5.77,42
2019-01-03 00:58:34.000000 UTC,2019-01-03 01:13:00.000000 UTC,1,2.56,82
2019-01-03 00:59:06.000000 UTC,2019-01-03 01:05:13.000000 UTC,1,1.8,223
2019-01-03 00:59:30.000000 UTC,2019-01-03 01:07:38.000000 UTC,1,1.12,82
2019-01-03 01:00:02.000000 UTC,2019-01-03 01:02:38.000000 UTC,1,0.64,179
2019-01-03 01:00:04.000000 UTC,2019-01-03 01:07:55.000000 UTC,1,1.71,255
2019-01-03 01:00:39.000000 UTC,2019-01-03 01:04:29.000000 UTC,1,0.73,75
2019-01-03 01:00:52.000000 UTC,2019-01-03 01:14:51.000000 UTC,1,3.41,256
2019-01-03 01:01:09.000000 UTC,2019-01-03 01:12:01.000000 UTC,1,2.5,82
2019-01-03 01:01:15.000000 UTC,2019-01-03 01:09:50.000000 UTC,2,1.8,256
2019-01-03 01:01:23.000000 UTC,2019-01-03 01:08:37.000000 UTC,1,1.93,7
2019-01-03 01:01:38.000000 UTC,2019-01-03 01:07:42.000000 UTC,1,1.45,168
2019-01-03 01:01:42.000000 UTC,2019-01-03 01:10:06.000000 UTC,1,2,260
2019-01-03 01:02:01.000000 UTC,2019-01-03 01:04:30.000000 UTC,1,0.9,223
2019-01-03 01:02:32.000000 UTC,2019-01-03 01:02:32.000000 UTC,1,0,264
2019-01-03 01:03:23.000000 UTC,2019-01-03 01:08:59.000000 UTC,1,0.89,129
2019-01-03 01:03:36.000000 UTC,2019-01-03 01:13:27.000000 UTC,1,1.44,41
2019-01-03 01:03:37.000000 UTC,2019-01-03 01:12:29.000000 UTC,1,3.65,260
2019-01-03 01:03:38.000000 UTC,2019-01-03 01:07:04.000000 UTC,1,0.54,7
2019-01-03 01:03:40.000000 UTC,2019-01-03 01:07:16.000000 UTC,1,0.7,260
2019-01-03 01:03:43.000000 UTC,2019-01-03 01:18:27.000000 UTC,2,5.32,95
2019-01-03 01:03:48.000000 UTC,2019-01-03 01:11:32.000000 UTC,4,1,82
2019-01-03 01:04:04.000000 UTC,2019-01-03 01:04:58.000000 UTC,1,0.03,255
